X,CH1,CH2,
Second,Volt,Volt,
9.83000e-05,2.00e-01,2.00e-01,
9.84000e-05,2.00e-01,2.00e-01,
9.85000e-05,2.00e-01,2.00e-01,
9.86000e-05,2.00e-01,0.00e+00,
9.87000e-05,2.00e-01,2.00e-01,
9.88000e-05,2.00e-01,2.00e-01,
9.89000e-05,2.00e-01,4.00e-01,
9.90000e-05,2.00e-01,4.00e-01,
9.91000e-05,2.00e-01,4.00e-01,
9.92000e-05,2.00e-01,2.00e-01,
9.93000e-05,2.00e-01,2.00e-01,
9.94000e-05,2.00e-01,2.00e-01,
9.95000e-05,2.00e-01,2.00e-01,
9.96000e-05,2.00e-01,2.00e-01,
9.97000e-05,2.00e-01,4.00e-01,
9.98000e-05,2.00e-01,4.00e-01,
9.99000e-05,2.00e-01,4.00e-01,
1.00000e-04,2.00e-01,4.00e-01,
1.00100e-04,2.00e-01,4.00e-01,
1.00200e-04,2.00e-01,4.00e-01,
1.00300e-04,2.00e-01,2.00e-01,
1.00400e-04,2.00e-01,0.00e+00,
1.00500e-04,2.00e-01,2.00e-01,
1.00600e-04,2.00e-01,2.00e-01,
1.00700e-04,2.00e-01,2.00e-01,
1.00800e-04,2.00e-01,2.00e-01,
1.00900e-04,2.00e-01,4.00e-01,
1.01000e-04,2.00e-01,4.00e-01,
1.01100e-04,1.80e+00,4.00e-01,
1.01200e-04,3.40e+00,2.00e-01,
1.01300e-04,5.00e+00,0.00e+00,
1.01400e-04,5.00e+00,2.00e-01,
1.01500e-04,5.00e+00,4.00e-01,
1.01600e-04,5.00e+00,4.00e-01,
1.01700e-04,4.80e+00,4.00e-01,
1.01800e-04,4.80e+00,4.00e-01,
1.01900e-04,4.80e+00,4.00e-01,
1.02000e-04,4.80e+00,4.00e-01,
1.02100e-04,4.60e+00,4.00e-01,
1.02200e-04,4.80e+00,4.00e-01,
1.02300e-04,5.00e+00,4.00e-01,
1.02400e-04,5.00e+00,4.00e-01,
1.02500e-04,4.80e+00,4.00e-01,
1.02600e-04,4.80e+00,2.80e+00,
1.02700e-04,4.80e+00,5.20e+00,
1.02800e-04,4.80e+00,5.20e+00,
1.02900e-04,4.80e+00,5.00e+00,
1.03000e-04,4.80e+00,5.00e+00,
1.03100e-04,4.80e+00,5.00e+00,
1.03200e-04,4.80e+00,5.20e+00,
1.03300e-04,4.80e+00,5.20e+00,
1.03400e-04,4.80e+00,5.20e+00,
1.03500e-04,4.60e+00,5.00e+00,
1.03600e-04,4.80e+00,5.20e+00,
1.03700e-04,4.80e+00,5.20e+00,
1.03800e-04,4.80e+00,5.20e+00,
1.03900e-04,4.80e+00,5.00e+00,
1.04000e-04,4.80e+00,5.00e+00,
1.04100e-04,4.80e+00,5.00e+00,
1.04200e-04,4.80e+00,5.00e+00,
1.04300e-04,4.80e+00,5.00e+00,
1.04400e-04,4.80e+00,5.20e+00,
1.04500e-04,4.80e+00,5.20e+00,
1.04600e-04,4.80e+00,5.20e+00,
1.04700e-04,4.80e+00,5.00e+00,
1.04800e-04,4.80e+00,5.00e+00,
1.04900e-04,4.80e+00,5.00e+00,
1.05000e-04,5.00e+00,5.00e+00,
1.05100e-04,5.00e+00,4.80e+00,
1.05200e-04,5.00e+00,5.00e+00,
1.05300e-04,5.00e+00,5.00e+00,
1.05400e-04,5.00e+00,5.00e+00,
1.05500e-04,5.00e+00,5.00e+00,
1.05600e-04,5.00e+00,5.00e+00,
1.05700e-04,5.00e+00,5.00e+00,
1.05800e-04,5.00e+00,2.60e+00,
1.05900e-04,5.00e+00,0.00e+00,
1.06000e-04,5.00e+00,0.00e+00,
1.06100e-04,4.80e+00,0.00e+00,
1.06200e-04,4.80e+00,2.00e-01,
1.06300e-04,4.80e+00,4.00e-01,
1.06400e-04,4.80e+00,4.00e-01,
1.06500e-04,4.80e+00,2.00e-01,
1.06600e-04,4.80e+00,2.00e-01,
1.06700e-04,4.80e+00,2.00e-01,
1.06800e-04,4.80e+00,2.00e-01,
1.06900e-04,4.80e+00,2.00e-01,
1.07000e-04,4.80e+00,4.00e-01,
1.07100e-04,4.80e+00,4.00e-01,
1.07200e-04,4.80e+00,4.00e-01,
1.07300e-04,4.80e+00,4.00e-01,
1.07400e-04,4.80e+00,4.00e-01,
1.07500e-04,4.80e+00,2.00e-01,
1.07600e-04,4.80e+00,2.00e-01,
1.07700e-04,4.80e+00,2.00e-01,
1.07800e-04,4.80e+00,2.00e-01,
1.07900e-04,4.80e+00,2.00e-01,
1.08000e-04,4.80e+00,4.00e-01,
1.08100e-04,4.80e+00,4.00e-01,
1.08200e-04,4.80e+00,4.00e-01,
1.08300e-04,4.80e+00,4.00e-01,
1.08400e-04,4.80e+00,4.00e-01,
1.08500e-04,4.80e+00,2.00e-01,
1.08600e-04,4.80e+00,4.00e-01,
1.08700e-04,4.80e+00,4.00e-01,
1.08800e-04,2.60e+00,4.00e-01,
1.08900e-04,2.00e-01,4.00e-01,
1.09000e-04,2.00e-01,4.00e-01,
1.09100e-04,2.00e-01,4.00e-01,
1.09200e-04,2.00e-01,4.00e-01,
1.09300e-04,2.00e-01,4.00e-01,
1.09400e-04,2.00e-01,4.00e-01,
1.09500e-04,2.00e-01,4.00e-01,
1.09600e-04,2.00e-01,4.00e-01,
1.09700e-04,2.00e-01,4.00e-01,
1.09800e-04,2.00e-01,4.00e-01,
1.09900e-04,2.00e-01,4.00e-01,
1.10000e-04,2.00e-01,2.80e+00,
1.10100e-04,2.00e-01,5.00e+00,
