X,CH1,CH2,
Second,Volt,Volt,
-1.04260e-03,-2.00e-01,4.88e+00,
-1.04060e-03,0.00e+00,5.12e+00,
-1.03860e-03,-2.00e-01,4.96e+00,
-1.03660e-03,0.00e+00,1.60e-01,
-1.03460e-03,-2.00e-01,2.40e-01,
-1.03260e-03,0.00e+00,-7.99e-02,
-1.03060e-03,2.00e-01,4.80e-01,
-1.02860e-03,-2.00e-01,6.32e+00,
-1.02660e-03,0.00e+00,5.12e+00,
-1.02460e-03,-2.00e-01,1.60e-01,
-1.02260e-03,-2.00e-01,2.40e-01,
-1.02060e-03,4.60e+00,1.60e-01,
-1.01860e-03,-2.00e-01,2.40e-01,
-1.01660e-03,2.00e-01,5.12e+00,
-1.01460e-03,-2.00e-01,4.88e+00,
-1.01260e-03,2.00e-01,5.12e+00,
-1.01060e-03,-2.00e-01,4.96e+00,
-1.00860e-03,4.60e+00,1.60e-01,
-1.00660e-03,0.00e+00,2.40e-01,
-1.00460e-03,-2.00e-01,1.60e-01,
-1.00260e-03,0.00e+00,2.40e-01,
-1.00060e-03,-2.00e-01,5.28e+00,
-9.98600e-04,-2.00e-01,5.12e+00,
-9.96600e-04,2.00e-01,-1.04e+00,
-9.94600e-04,-2.00e-01,2.40e-01,
-9.92600e-04,2.00e-01,-7.99e-02,
-9.90600e-04,0.00e+00,2.40e-01,
-9.88600e-04,-2.00e-01,5.12e+00,
-9.86600e-04,-2.00e-01,4.88e+00,
-9.84600e-04,2.00e-01,5.20e+00,
-9.82600e-04,0.00e+00,4.96e+00,
-9.80600e-04,-2.00e-01,-7.99e-02,
-9.78600e-04,0.00e+00,2.40e-01,
-9.76600e-04,-2.00e-01,2.40e-01,
-9.74600e-04,2.00e-01,5.12e+00,
-9.72600e-04,-2.00e-01,4.88e+00,
-9.70600e-04,0.00e+00,5.04e+00,
-9.68600e-04,-2.00e-01,-7.99e-02,
-9.66600e-04,-2.00e-01,1.60e-01,
-9.64600e-04,2.00e-01,2.40e-01,
-9.62600e-04,-2.00e-01,2.40e-01,
-9.60600e-04,4.60e+00,5.28e+00,
-9.58600e-04,4.60e+00,4.88e+00,
-9.56600e-04,-2.00e-01,5.04e+00,
-9.54600e-04,-2.00e-01,4.96e+00,
-9.52600e-04,2.00e-01,1.60e-01,
-9.50600e-04,0.00e+00,2.40e-01,
-9.48600e-04,-2.00e-01,-7.99e-02,
-9.46600e-04,0.00e+00,5.12e+00,
-9.44600e-04,-2.00e-01,4.88e+00,
-9.42600e-04,2.00e-01,5.20e+00,
-9.40600e-04,-2.00e-01,1.60e-01,
-9.38600e-04,0.00e+00,1.60e-01,
-9.36600e-04,-2.00e-01,2.40e-01,
-9.34600e-04,-2.00e-01,2.40e-01,
-9.32600e-04,2.00e-01,5.20e+00,
-9.30600e-04,-2.00e-01,4.88e+00,
-9.28600e-04,0.00e+00,5.12e+00,
-9.26600e-04,0.00e+00,4.96e+00,
-9.24600e-04,-2.00e-01,7.99e-02,
-9.22600e-04,-2.00e-01,1.60e-01,
-9.20600e-04,4.60e+00,5.20e+00,
-9.18600e-04,0.00e+00,4.88e+00,
-9.16600e-04,-6.00e-01,5.12e+00,
-9.14600e-04,2.00e-01,4.96e+00,
-9.12600e-04,-2.00e-01,7.99e-02,
-9.10600e-04,2.00e-01,2.40e-01,
-9.08600e-04,-2.00e-01,1.60e-01,
-9.06600e-04,-2.00e-01,2.40e-01,
-9.04600e-04,2.00e-01,5.44e+00,
-9.02600e-04,-2.00e-01,4.00e+00,
-9.00600e-04,0.00e+00,5.20e+00,
-8.98600e-04,-2.00e-01,4.96e+00,
-8.96600e-04,4.60e+00,0.00e+00,
-8.94600e-04,4.60e+00,7.99e-02,
-8.92600e-04,-2.00e-01,5.28e+00,
-8.90600e-04,-2.00e-01,4.88e+00,
-8.88600e-04,0.00e+00,5.20e+00,
-8.86600e-04,0.00e+00,4.96e+00,
-8.84600e-04,-2.00e-01,1.60e-01,
-8.82600e-04,-2.00e-01,7.99e-02,
-8.80600e-04,2.00e-01,3.20e-01,
-8.78600e-04,0.00e+00,2.40e-01,
