X,CH1,CH2,
Second,Volt,Volt,
-1.77540e-03,4.00e-01,5.12e+00,
-1.77440e-03,5.00e+00,4.96e+00,
-1.77340e-03,4.80e+00,4.96e+00,
-1.77240e-03,4.80e+00,4.96e+00,
-1.77140e-03,5.00e+00,2.40e-01,
-1.77040e-03,5.00e+00,2.40e-01,
-1.76940e-03,4.80e+00,2.40e-01,
-1.76840e-03,4.80e+00,2.40e-01,
-1.76740e-03,5.00e+00,1.60e-01,
-1.76640e-03,5.00e+00,2.40e-01,
-1.76540e-03,2.00e-01,2.40e-01,
-1.76440e-03,2.00e-01,5.12e+00,
-1.76340e-03,4.00e-01,4.96e+00,
-1.76240e-03,2.00e-01,4.88e+00,
-1.76140e-03,4.00e-01,5.12e+00,
-1.76040e-03,2.00e-01,5.04e+00,
-1.75940e-03,5.00e+00,4.88e+00,
-1.75840e-03,4.80e+00,4.96e+00,
-1.75740e-03,5.20e+00,1.60e-01,
-1.75640e-03,4.80e+00,2.40e-01,
-1.75540e-03,5.20e+00,4.00e-01,
-1.75440e-03,5.00e+00,2.40e-01,
-1.75340e-03,4.80e+00,1.60e-01,
-1.75240e-03,4.80e+00,2.40e-01,
-1.75140e-03,5.00e+00,2.40e-01,
-1.75040e-03,2.00e-01,2.40e-01,
-1.74940e-03,2.00e-01,5.12e+00,
-1.74840e-03,2.00e-01,4.96e+00,
-1.74740e-03,4.00e-01,4.88e+00,
-1.74640e-03,2.00e-01,5.12e+00,
-1.74540e-03,5.20e+00,4.96e+00,
-1.74440e-03,4.80e+00,4.96e+00,
-1.74340e-03,5.00e+00,2.40e-01,
-1.74240e-03,5.00e+00,4.00e-01,
-1.74140e-03,4.80e+00,7.99e-02,
-1.74040e-03,4.80e+00,7.99e-02,
-1.73940e-03,5.00e+00,3.20e-01,
-1.73840e-03,5.00e+00,3.20e-01,
-1.73740e-03,4.80e+00,2.40e-01,
-1.73640e-03,5.00e+00,2.40e-01,
-1.73540e-03,0.00e+00,5.12e+00,
-1.73440e-03,4.00e-01,4.96e+00,
-1.73340e-03,2.00e-01,4.96e+00,
-1.73240e-03,4.00e-01,4.96e+00,
-1.73140e-03,5.00e+00,5.20e+00,
-1.73040e-03,5.00e+00,4.96e+00,
-1.72940e-03,4.80e+00,4.96e+00,
-1.72840e-03,5.00e+00,2.40e-01,
-1.72740e-03,4.80e+00,2.40e-01,
-1.72640e-03,5.20e+00,1.60e-01,
-1.72540e-03,4.80e+00,4.80e-01,
-1.72440e-03,5.00e+00,2.40e-01,
-1.72340e-03,4.80e+00,4.00e-01,
-1.72240e-03,5.00e+00,2.40e-01,
-1.72140e-03,0.00e+00,5.12e+00,
-1.72040e-03,2.00e-01,4.96e+00,
-1.71940e-03,4.00e-01,4.88e+00,
-1.71840e-03,2.00e-01,4.88e+00,
-1.71740e-03,5.00e+00,5.20e+00,
-1.71640e-03,5.20e+00,4.96e+00,
-1.71540e-03,4.80e+00,4.96e+00,
-1.71440e-03,5.00e+00,4.96e+00,
-1.71340e-03,4.80e+00,-7.99e-02,
-1.71240e-03,4.80e+00,2.40e-01,
-1.71140e-03,5.00e+00,2.40e-01,
-1.71040e-03,4.80e+00,-2.40e-01,
-1.70940e-03,5.00e+00,3.20e-01,
-1.70840e-03,5.00e+00,2.40e-01,
-1.70740e-03,2.00e-01,5.28e+00,
-1.70640e-03,2.00e-01,5.04e+00,
-1.70540e-03,4.00e-01,4.96e+00,
